Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-50;>50;PM10 ann. Avg.
Albania;AL;2.896;0;7,7;88,9;3,5;;;25,7
Andorra;AD;73;0,8;2,5;96,7;;;;21,3
Austria;AT;8.507;4,2;58,8;37,0;;;;17,8
Belgium;BE;11.204;;42,2;57,8;;;;20,2
Bosnia and Herzegovina;BA;3.831;0,1;24,9;75,0;;;;22,1
Bulgaria;BG;7.246;0,0;3,1;16,2;40,0;40,7;;36,2
Croatia;HR;4.247;0,0;25,6;74,4;;;;21,7
Cyprus;CY;858;;0,1;8,6;91,4;;;32,1
Czechia;CZ;10.512;;9,6;78,8;10,3;1,3;;25,5
Denmark (incl. Faroe Islands);DK;5.627;0,1;95,8;4,1;;;;18,5
Estonia;EE;1.316;0,1;99,9;;;;;14,8
Finland;FI;5.451;15,1;84,9;;;;;12
France (metropolitan);FR;63.989;0,9;93,6;5,5;0,0;;;16,7
Germany;DE;80.767;0,1;80,9;19,0;;;;18,7
Greece;GR;10.927;;3,1;74,0;23,0;;;27,4
Hungary;HU;9.877;;0,6;99,0;0,4;;;25,4
Iceland;IS;326;9,8;90,2;;;;;12,7
Ireland;IE;4.606;20,2;79,2;0,6;;;;13,7
Italy;IT;60.783;0,3;15,0;75,3;9,4;;;24
Latvia;LV;2.001;;35,3;64,7;;;;20,3
Liechtenstein;LI;37;6,5;93,5;;;;;13,1
Lithuania;LT;2.943;;24,7;75,3;;;;21,7
Luxembourg;LU;550;;100;;;;;17,4
Malta;MT;2066;;1,8;10;44,1;44,5;;39,3
Monaco;MC;425;;;100;;;;28,9
Montenegro;ME;38;;;100,0;;;;22,3
Netherlands;NL;622;0,5;17,8;79,1;2,6;;;24,6
North Macedonia;MK;16.829;;40,9;59,1;;;;20,2
Norway;NO;5.108;24,9;75,1;0;;;;12,6
Poland;PL;38.018;;0,4;42,2;45,1;12,3;;31,5
Portugal (excl. Azores, Madeira);PT;9.922;0,3;91,3;8,4;;;;16,9
Romania;RO;19.947;;5,1;74,3;20,0;0,6;;25,9
San Marino;SM;33;;15,4;84,6;;;;21,2
Serbia (incl. Kosovo*);RS;7.147;0;3,5;33,9;46,4;16,2;;32,1
Slovakia;SK;5.416;;0,7;75,2;24,1;;;27,2
Slovenia;SI;2.061;0,1;36,7;63,2;;;;20,3
Spain (excl. Canarias);ES;44.397;0,7;58,6;39,4;1,3;0,1;;19,7
Sweden;SE;9.645;7,7;92,3;;;;;13,8
Switzerland;CH;8.140;3,7;94,8;1,5;;;;16,5
United Kingdom (& Crown dep.);UK;64.351;1,3;98,6;0,1;;;;16,6
Total without Turkey;;532.738;1,2;54,7;34,3;7,8;2,0;;21,1
EU-28;;502.424;1,0;55,5;34,6;7,3;1,6;;20,9
Kosovo*;KS;1 821;0;3.4;16.5;27.6;52.4;;37.5
Serbia (excl. Kosovo*);RS;7 147;;3.5;38.1;51.0;7.4;;30.8
