Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-45;>45;NO2 - ann. Avg.
Albania;AL;2.877;21,1;42,4;34,0;2,5;;;16,9
Andorra;AD;73;1,2;68,1;30,7;;;;20,5
Austria;AT;8.773;11,0;49,0;29,9;8,6;1,5;0,1;18,9
Belgium;BE;11.352;2,5;52,7;31,8;11,6;0,9;0,5;20,9
Bosnia and Herzegovina;BA;3.510;26,5;45,1;27,7;0,7;;;15,7
Bulgaria;BG;7.102;11,7;47,5;30,5;10,3;;;19,2
Croatia;HR;4.154;26,8;47,3;24,7;1,3;;;15,6
Cyprus;CY;1.201;15,4;31,2;44,9;4,1;3,7;0,6;19,6
Czechia;CZ;10.579;16,5;67,3;14,3;1,9;0,0;;15,2
Denmark (incl. Faroe Islands);DK;5.749;69,0;24,5;6,1;0,4;;;8,8
Estonia;EE;1.316;81,1;18,2;0,7;;;;6,3
Finland;FI;5.503;71,1;26,6;2,3;;;;7,6
France (metropolitan);FR;64.629;30,3;40,9;17,6;6,3;2,3;2,6;16,9
Germany;DE;82.522;7,1;51,7;34,0;5,0;1,4;0,8;19,4
Greece;GR;10.768;17,5;31,1;19,3;17,8;7,9;6,5;23,6
Hungary;HU;9.798;11,5;59,6;21,8;6,5;0,5;0,2;17,8
Iceland;IS;338;43,9;50,7;5,4;;;;10,2
Ireland;IE;4.784;58,2;35,3;5,3;1,2;;;9,3
Italy;IT;60.589;9,4;36,7;34,7;13,1;3,6;2,5;22,1
Latvia;LV;1.950;50,7;36,7;12,4;0,3;;;11,1
Liechtenstein;LI;38;1,3;83,0;14,3;1,3;;;18,2
Lithuania;LT;2.848;47,9;47,4;4,4;0,4;;;10,8
Luxembourg;LU;591;7,2;50,1;35,9;6,9;;;19,5
Malta;MT;460;7,4;82,3;3,0;7;;;16,0
Monaco;MC;38;;;78;22;;;26,8
Montenegro;ME;622;25,2;67,7;7,1;;;;13,5
Netherlands;NL;17.082;2,8;49,7;42,1;5,2;0,2;;20,2
North Macedonia;MK;2.074;3,7;53,9;38,7;3,7;;;19,8
Norway;NO;5.258;52,8;35,2;10,6;1,4;;;10,4
Poland;PL;37.973;26,3;52,5;19,5;1,2;0,3;0,1;14,9
Portugal (excl. Azores, Madeira);PT;9.809;23,8;48,9;22,5;3,5;1,0;0,3;16,2
Romania;RO;19.644;15,4;46,7;25,5;11,2;0,5;0,7;18,8
San Marino;SM;33;6,1;89,3;0,6;4;;;14,5
Serbia (incl. Kosovo*);RS;8.824;12,5;37,4;42,3;7,8;;;19,6
Slovakia;SK;5.435;14,8;76,8;6,6;1,9;;;14,7
Slovenia;SI;2.066;20,8;51,7;26,0;1,5;;;16,2
Spain (excl. Canarias);ES;44.373;11,7;39,8;27,9;12,9;4,7;3,1;21,6
Sweden;SE;9.995;73,8;24,0;1,8;0,4;;;7,7
Switzerland;CH;8.420;6,1;61,2;25,9;5,5;1,4;;18,8
Turkey;TR;79.815;25,3;13,9;21,4;19,4;6,9;13,1;25,3
United Kingdom (& Crown dep.);UK;65.844;11,0;42,4;34,9;9,8;0,8;1,1;19,8
Total;;618.808;18,8;41,2;26,2;8,8;2,3;2,7;19,2
Total without Turkey;;538.993;17,9;44,9;26,9;7,3;1,7;1,3;18,4
EU-28;;506.888;17,8;44,8;26,7;7,5;1,8;1,4;18,5
Kosovo*;KS;1.784;15,8;63,9;20,3;;;;15,6
Serbia (excl. Kosovo*);RS;7.040;11,7;31,0;47,6;9,7;;;20,6
