Country;ISO;Population [inhbs-1000];<5;5-10;10-15;15-20;20-25;>25;PM2.5 - ann. Avg.
Albania;AL;2.877;;2,3;12,2;15,0;37,2;33,3;23,1
Andorra;AD;73;;10,5;89,5;;;;12,5
Austria;AT;8.773;0,7;19,1;73,1;7,0;;;12,3
Belgium;BE;11.352;;8,0;84,8;7,2;;;12,5
Bosnia and Herzegovina;BA;3.510;;2,1;20,9;22,2;15,4;39,3;22,6
Bulgaria;BG;7.102;;1,4;10,6;22,6;34,3;31,1;22,4
Croatia;HR;4.154;;4,7;33,3;23,3;30,0;8,7;17,6
Cyprus;CY;1.201;;0,0;21,3;76,1;2,5;;15,7
Czechia;CZ;10.579;;1,0;22,1;60,9;11,2;4,8;17,1
Denmark (incl. Faroe Islands);DK;5.749;0,9;95,9;3,2;;;;8,5
Estonia;EE;1.316;36,3;63,7;;;;;5,4
Finland;FI;5.503;75,1;24,9;;;;;4,4
France (metropolitan);FR;64.629;0,3;41,2;57,9;0,7;;;10,6
Germany;DE;82.522;0,0;8,1;88,0;3,9;;;11,8
Greece;GR;10.768;;1,8;8,7;10,2;16,7;62,6;30,0
Hungary;HU;9.798;;0,0;4,6;64,5;30,4;0,5;18,8
Iceland;IS;338;50,2;46,2;3,6;;;;5,1
Ireland;IE;4.784;18,5;81,5;;;;;6,2
Italy;IT;60.589;0,1;6,5;42,8;22,7;13,4;14,6;17,0
Latvia;LV;1.950;0,5;68,7;19,4;11,5;;;9,5
Liechtenstein;LI;38;0,1;78,2;21,7;;;;9,4
Lithuania;LT;2.848;;44,4;53,7;1,8;;;10,3
Luxembourg;LU;591;;42,6;57,4;;;;10,0
Malta;MT;460;;0,3;99,7;;;;11,8
Monaco;MC;38;;;100,0;;;;13,2
Montenegro;ME;622;;8,8;19,7;30,3;34,1;7,1;18,6
Netherlands;NL;17.082;;2,3;97,7;;;;11,3
North Macedonia;MK;2.074;;0,5;2,4;2,3;12,7;82,1;36,3
Norway;NO;5.258;48,8;46,0;5,3;;;;5,2
Poland;PL;37.973;;0,1;9,9;30,9;37,0;22,2;21,4
Portugal (excl. Azores, Madeira);PT;9.809;1,5;70,8;21,8;6,0;;;9,1
Romania;RO;19.644;;0,7;11,8;71,6;14,4;1,5;17,9
San Marino;SM;33;;1,4;93,2;5;;;14,2
Serbia (incl. Kosovo*);RS;8.824;;0,6;5,1;9,0;15,2;70,1;28,3
Slovakia;SK;5.435;;0,0;8,3;57,0;32,8;1,9;18,8
Slovenia;SI;2.066;;3,0;37,1;41,8;18,1;;16,2
Spain (excl. Canarias);ES;44.373;0,2;26,2;58,1;15,3;0,2;0,0;12,0
Sweden;SE;9.995;59,6;40,4;;;;;5,0
Switzerland;CH;8.420;1,1;48,6;49,7;0,6;;;9,9
United Kingdom (& Crown dep.);UK;65.844;1,3;60,3;38,3;;;;9,3
Total without Turkey;;538.993;2,8;22,9;45,1;14,3;7,7;7,2;13,8
EU-28;;506.888;2,5;23,0;46,7;14,8;7,4;5,5;13,5
Kosovo*;KS;1.784;;0,2;6,4;9,4;9,9;74,0;28,6
Serbia (excl. Kosovo*);RS;7.040;;0,6;4,8;8,9;16,5;69,1;28,2
