Country;ISO;Population [inhbs-1000];<5;5-10;10-15;15-20;20-25;>25;PM2.5 - ann. Avg.;;;;;;;;;
Albania;AL;2.870;;1,7;14,6;26,5;25,5;31,8;21,6;;;;;;;;;
Andorra;AD;75;0,8;99,2;;;;;8,5;;;;;;;;;
Austria;AT;8.822;0,6;13,2;49,0;37,3;;;13,6;;;;;;;;;
Belgium;BE;11.399;;6,8;81,2;12;;;12,7;;;;;;;;;
Bosnia and Herzegovina;BA;3.500;;3,1;11,8;19,6;14;51,4;26,4;;;;;;;;;
Bulgaria;BG;7.050;;1,2;12,2;33,7;35,3;17,7;21,0;;;;;;;;;
Croatia;HR;4.105;;7,9;21,1;27,1;39,1;4,8;18,0;;;;;;;;;
Cyprus;CY;1.226;;0,3;91,3;0,0;7,6;0,9;14,5;;;;;;;;;
Czechia;CZ;10.610;;0,2;14,3;66,3;11,7;7,5;18,3;;;;;;;;;
Denmark (incl. Faroe Islands);DK;5.781;0,6;22,2;77,2;;;;10,5;;;;;;;;;
Estonia;EE;1.319;0,6;98,3;1,1;;;;7,0;;;;;;;;;
Finland;FI;5.513;33,3;66,7;;;;;5,9;;;;;;;;;
France (metropolitan);FR;64.738;0,2;45,4;49,1;5,4;;;10,6;;;;;;;;;
Germany;DE;82.792;0,0;5,2;89,5;5,3;0,1;;12,3;;;;;;;;;
Greece;GR;10.741;;3,3;37,2;22,5;25,3;11,8;18,3;;;;;;;;;
Hungary;HU;9.778;;;2,8;82,5;14,7;;18,3;;;;;;;;;
Iceland;IS;348;58,6;41,4;;;;;4,7;;;;;;;;;
Ireland;IE;4.830;1,4;89,9;8,8;;;;7,8;;;;;;;;;
Italy;IT;60.484;0,2;7,4;48,1;22,8;19,8;1,8;15,5;;;;;;;;;
Latvia;LV;1.934;;35,1;43,2;20,7;1;;12,1;;;;;;;;;
Liechtenstein;LI;38;0,1;99,4;0,5;;;;8,6;;;;;;;;;
Lithuania;LT;2.809;;5,6;82,7;11,8;;;12,8;;;;;;;;;
Luxembourg;LU;602;;55,1;44,9;;;;10,0;;;;;;;;;
Malta;MT;476;;0,6;89,2;10,2;;;12,5;;;;;;;;;
Monaco;MC;38;;;100,0;;;;12,6;;;;;;;;;
Montenegro;ME;622;;8,4;13,3;27,0;20,2;31,1;20,5;;;;;;;;;
Netherlands;NL;17.181;;0,2;99,8;;;;12,0;;;;;;;;;
North Macedonia;MK;2.075;;0,3;2,4;5,8;32,0;59,5;30,7;;;;;;;;;
Norway;NO;5.296;32,1;56,7;11,2;;;;6,4;;;;;;;;;
Poland;PL;37.977;;0,0;5,7;30,8;41,8;21,7;21,7;;;;;;;;;
Portugal (excl. Azores, Madeira);PT;9.793;1,9;77,2;15,2;5,6;;;8,4;;;;;;;;;
Romania;RO;19.531;;0,5;15,0;65,0;18,6;0,9;17,6;;;;;;;;;
San Marino;SM;34;;;95,7;4,3;;;13,3;;;;;;;;;
Serbia (incl. Kosovo*);RS;8.800;;0,5;3,3;16,3;12,6;67,3;26,6;;;;;;;;;
Slovakia;SK;5.443;;0,0;3,0;82,2;11,2;3,5;18,2;;;;;;;;;
Slovenia;SI;2.067;;4,7;35,7;46,1;13,5;;15,8;;;;;;;;;
Spain (excl. Canarias);ES;44.481;0,6;48,5;46,6;4,3;;;10,2;;;;;;;;;
Sweden;SE;10.120;33;65,9;0,7;;;;6,1;;;;;;;;;
Switzerland;CH;8.484;2;43,4;54,1;0,5;;;9,8;;;;;;;;;
United Kingdom (& Crown dep.);UK;63.415;1;36,8;62,7;;;;10,0;;;;;;;;;
Total without Turkey;;540.312;1,5;22,1;47,6;15,8;8,6;4,5;13,5;;;;;;;;;
EU-28;;507.878;1,2;22,1;49,4;16,1;8,5;2,7;13,2;;;;;;;;;
Kosovo*;KS;1.799;;0,1;3,8;9,5;12,0;74,5;28,2;;;;;;;;;
Serbia (excl. Kosovo*);RS;7.001;;0,6;3,2;18,0;12,8;65,5;26,3;;;;;;;;;
