Year;Concentration;country_na
2014;0;Russia
2014;0,000447435;Ukraine
2014;10,81207371;Romania
2014;9,203925428;Moldova
2014;0,000969336;Russia
2014;4,906928434;Finland
2014;1,406158196;Norway
2014;0,05;Andorra
2014;10,75295405;Italy
2014;14,037;Monaco
2014;5,914333333;Malta
2014;14,064;San Marino
2014;21,434;Vatican City
2014;12,68877463;Croatia
2014;11,05841005;Albania
2014;9,278536895;Bosnia & Herzegovina
2014;6,322443692;Montenegro
2014;12,56143219;Serbia
2014;11,56272949;Greece
2014;11,80758863;Macedonia
2014;10,72087523;Kosovo
2014;11,93865817;Bulgaria
2014;;Portugal (Azores)
2014;7,186884141;Portugal
2014;23,041;Gibraltar
2014;6,937242876;Spain
2014;9,187859641;France
2014;;Svalbard
2014;3,71723761;Sweden
2014;6,842762902;Denmark
2014;6,047929398;Estonia
2014;5,78266921;Latvia
2014;7,046440016;Lithuania
2014;5,469019421;Belarus
2014;10,31216859;Poland
2014;13,68531548;Germany
2014;10,68930395;Czechia
2014;11,30653662;Slovakia
2014;12,9410335;Hungary
2014;13,06728516;Slovenia
2014;9,936779375;Austria
2014;17,203;Dragonja River Mouth
2014;10,37611614;Switzerland
2014;10,442;Liechtenstein
2014;17,20216667;Luxembourg
2014;20,11469764;Netherlands
2014;19,69395072;Belgium
2014;6,931354655;United Kingdom
2014;0,05;Jersey
2014;0,05;Guernsey
2014;4,343445179;Ireland
2014;0,05;Isle of Man
2014;0,05;Faroe Is
2014;0,050017673;Iceland
2014;0,05;Jan Mayen
2015;1,205E-05;Russia
2015;0,000316424;Ukraine
2015;11,38001331;Romania
2015;9,345850593;Moldova
2015;0;Russia
2015;5,406212513;Finland
2015;2,062460782;Norway
2015;0,05;Andorra
2015;11,49163474;Italy
2015;22,853;Monaco
2015;8,7915;Malta
2015;10,548;San Marino
2015;37,237;Vatican City
2015;11,44166804;Croatia
2015;11,55219755;Albania
2015;10,18497075;Bosnia & Herzegovina
2015;8,060365587;Montenegro
2015;11,81392258;Serbia
2015;11,25632267;Greece
2015;8,819109442;Macedonia
2015;9,40304116;Kosovo
2015;11,25898169;Bulgaria
2015;;Portugal (Azores)
2015;7,376480199;Portugal
2015;35,189;Gibraltar
2015;7,253356073;Spain
2015;8,508991583;France
2015;;Svalbard
2015;4,686244355;Sweden
2015;6,560298113;Denmark
2015;4,594396551;Estonia
2015;5,870011465;Latvia
2015;6,091838253;Lithuania
2015;5,250628069;Belarus
2015;9,688244277;Poland
2015;12,12401283;Germany
2015;11,18654205;Czechia
2015;11,37145228;Slovakia
2015;11,87938284;Hungary
2015;10,62990029;Slovenia
2015;9,876721519;Austria
2015;14,219;Dragonja River Mouth
2015;10,13002731;Switzerland
2015;11,282;Liechtenstein
2015;15,42949335;Luxembourg
2015;19,76331915;Netherlands
2015;16,24757785;Belgium
2015;6,626326392;United Kingdom
2015;0,05;Jersey
2015;0,05;Guernsey
2015;4,562864046;Ireland
2015;0,05;Isle of Man
2015;0,05;Faroe Is
2015;0,050487797;Iceland
2015;0,05;Jan Mayen
2017;5,239394523;Russia
2017;7,625005029;Ukraine
2017;12,37332729;Romania
2017;10,59969983;Moldova
2017;3,741044901;Russia
2017;4,438116536;Finland
2017;0,876236315;Norway
2017;1,904560044;Andorra
2017;9,247062695;Italy
2017;19,76675606;Monaco
2017;11,07279682;Malta
2017;8,34804821;San Marino
2017;32,39749908;Vatican City
2017;9,435157022;Croatia
2017;9,690188266;Albania
2017;6,933497155;Bosnia & Herzegovina
2017;6,315232103;Montenegro
2017;12,05946022;Serbia
2017;12,74911472;Greece
2017;11,13171424;Macedonia
2017;10,31074652;Kosovo
2017;13,74638316;Bulgaria
2017;;Portugal (Azores)
2017;8,37261763;Portugal
2017;31,12231827;Gibraltar
2017;7,757666427;Spain
2017;8,243043215;France
2017;;Svalbard
2017;2,623102711;Sweden
2017;5,181784654;Denmark
2017;4,314194363;Estonia
2017;5,116506627;Latvia
2017;6,061059128;Lithuania
2017;4,656557106;Belarus
2017;8,88024681;Poland
2017;11,24771295;Germany
2017;10,06209597;Czechia
2017;10,63087677;Slovakia
2017;11,30963275;Hungary
2017;10,38450237;Slovenia
2017;9,375655975;Austria
2017;12,54440117;Dragonja River Mouth
2017;7,62231478;Switzerland
2017;14,47792053;Liechtenstein
2017;13,94763609;Luxembourg
2017;19,27598835;Netherlands
2017;16,22694061;Belgium
2017;5,36968104;United Kingdom
2017;0,050000001;Jersey
2017;0,050000001;Guernsey
2017;4,557258233;Ireland
2017;0,050000001;Isle of Man
2017;0,050000001;Faroe Is
2017;0,050378726;Iceland
2017;0,050000001;Jan Mayen
2019;5,046500656;Russia
2019;7,441993204;Ukraine
2019;11,62146474;Romania
2019;13,45162706;Moldova
2019;2,214548657;Russia
2019;3,188647722;Finland
2019;1,373486778;Norway
2019;0,050000001;Andorra
2019;8,743795023;Italy
2019;27,93843651;Monaco
2019;12,24103192;Malta
2019;7,652292252;San Marino
2019;21,65663528;Vatican City
2019;7,687427318;Croatia
2019;8,68588488;Albania
2019;6,062594112;Bosnia & Herzegovina
2019;4,811640428;Montenegro
2019;9,562392135;Serbia
2019;13,50835883;Greece
2019;11,36285597;Macedonia
2019;9,566951329;Kosovo
2019;13,87975039;Bulgaria
2019;;Portugal (Azores)
2019;7,374949464;Portugal
2019;64,79434967;Gibraltar
2019;6,246159425;Spain
2019;5,747367368;France
2019;;Svalbard
2019;2,937905598;Sweden
2019;6,317186596;Denmark
2019;4,15669789;Estonia
2019;4,636909632;Latvia
2019;5,940130745;Lithuania
2019;4,701179588;Belarus
2019;9,251927785;Poland
2019;10,24615821;Germany
2019;8,935980655;Czechia
2019;9,380387709;Slovakia
2019;9,563530807;Hungary
2019;9,371489366;Slovenia
2019;7,868785865;Austria
2019;11,72070026;Dragonja River Mouth
2019;7,118262505;Switzerland
2019;14,45745754;Liechtenstein
2019;12,91075961;Luxembourg
2019;18,12370947;Netherlands
2019;14,36672015;Belgium
2019;6,247949832;United Kingdom
2019;0,050000001;Jersey
2019;0,050000001;Guernsey
2019;5,125451911;Ireland
2019;0,050000001;Isle of Man
2019;0,050000001;Faroe Is
2019;0,053434323;Iceland
2019;0,050000001;Jan Mayen
2016;7,243051654;Russia
2016;9,12785129;Ukraine
2016;12,36854519;Romania
2016;11,65741905;Moldova
2016;5,737859615;Russia
2016;5,812488968;Finland
2016;3,124831378;Norway
2016;0,050000001;Andorra
2016;10,74843367;Italy
2016;18,6217289;Monaco
2016;10,82364178;Malta
2016;10,43888378;San Marino
2016;35,03167343;Vatican City
2016;9,562374413;Croatia
2016;9,937415567;Albania
2016;7,183291942;Bosnia & Herzegovina
2016;4,561460935;Montenegro
2016;11,55895857;Serbia
2016;10,25306026;Greece
2016;9,874131813;Macedonia
